pump_l	pow_lin	freq_qu	Ic	Qc
1.000000000000000056e-01	1.000000000000000021e-02	3.513759999999999994e+00	-6.414594910164605167e-03	9.771002192110932183e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.513920000000000154e+00	-6.619354483666815836e-03	9.888344746163584345e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.514079999999999870e+00	-5.769805417307874267e-03	1.003244869542172131e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.514240000000000030e+00	-5.977410508604726752e-03	9.739128592783148630e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.514400000000000190e+00	-6.010043530574470279e-03	1.006556724583059816e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.514559999999999906e+00	-6.384489513859437776e-03	9.631180182114592106e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.514720000000000066e+00	-6.409898557295443978e-03	9.910825532348245190e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.514879999999999782e+00	-6.311420756443927339e-03	9.652421521261070336e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.515039999999999942e+00	-6.100502482368896397e-03	9.912862810394796123e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.515200000000000102e+00	-6.388842864700284077e-03	9.710600135669813712e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.515359999999999818e+00	-6.079615954821710432e-03	1.020220766195868538e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.515519999999999978e+00	-6.185472112759320996e-03	9.667040204110678020e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.515680000000000138e+00	-6.375578759580819918e-03	9.570102212628122176e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.515839999999999854e+00	-6.497142105679896279e-03	1.015521508876347963e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.516000000000000014e+00	-5.964211016820254035e-03	9.877756816625938435e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.516160000000000174e+00	-5.961409108321025739e-03	9.834441684610846501e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.516319999999999890e+00	-6.155721779720970364e-03	9.628613740581002181e-03
